GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
DEVICES02,Total density per 100 000 population: Health centres,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-health-centres,2010,2010,2010,SEAR,South-East Asia,MMR,Myanmar,,,,1.06,1.06,,
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2003,2003,2003,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,53.2,53.2 [40.2-65.8],40.2,65.8
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2007,2007,2007,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,3497.97701,3498,,
NUTOVERWEIGHTNUM,"Overweight numbers among children under 5 years of age (thousands), model-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-overweight-numbers-%28in-millions%29,2023,2023,2023,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,29.3,29.3 [18.0-47.8],18,47.8
TOBACCO_MPOWER_W2A_CIGARETTES,"Tobacco Warning: W2a cigarette packaging health warnings, other characteristics",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w2a-cigarette-packaging-health-warnings--other-characteristics,2012,2012,2012,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W20_flavours_A,Cigarette packaging and labelling must not use descriptors depicting flavours,,No,,
AIR_60,Household and ambient air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys,2016,2016,2016,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,335549.285,335 549 [208 172-476 116],208171.977,476116.156
NCD_BMI_PLUS2C,"Obesity among children and adolescents, BMI-for-age > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,1995,1995,1995,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,1.2631528,1.3 [0.3-3.3],0.29210204,3.3034492
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2000,2000,2000,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_YEARSALL,Total (All ages),40.8,40.8 [39.1-42.6],39.1,42.6
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-drinking-water-services-%28-%29,2016,2016,2016,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,89.85670352,90,,
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2008,2008,2008,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,2.758275201,2.76 [0.73 - 6.53],0.725861895,6.532757055
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2004,2004,2004,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,11.88729,11.9,,
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-antiretroviral-therapy-coverage-among-people-living-with-hiv-%28-%29,2006,2006,2006,SEAR,South-East Asia,MMR,Myanmar,,,,3,3 [3 - 3],3,3
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,1991,1991,1991,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,0,0 [0 - 5.2],0,5.2
GHED_GGHE-DGDP_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/domestic-general-government-health-expenditure-%28gghe-d%29-as-percentage-of-gross-domestic-product-%28gdp%29-%28-%29,2019,2019,2019,SEAR,South-East Asia,MMR,Myanmar,,,,0.60877246,0.61,,
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2018,2018,2018,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,5.5,5.5 [0 - 23],0,23
FINPROTECTION_IMP_P215_POP,"Population pushed further below the $2.15 a day poverty line by household health expenditures (%, national, rural, urban)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-pushed-further-below-the-2.15-a-day-poverty-line-by-household-health-expenditures-%28percent--national--rural--urban%29,2015,2015,2015,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,1.93,1.93,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2009,2009,2009,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,71.93070894,71.9 [63.0-81.8],63.0120961,81.79612648
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2011,2011,2011,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,0,0,,
NCD_BMI_MINUS2C,"Thinness among children and adolescents, BMI-for-age < -2 standard deviations below the median (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2015,2015,2015,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,14.102419,14.1 [10.8-17.5],10.812405,17.535512
NCDCCS_COUNTRYRESPONSE,NCD country capacity survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cancer-diagnosis-and-treatment-services,2023,2023,2023,SEAR,South-East Asia,MMR,Myanmar,NCDCCS_SECTION,NCDCCS_SECTION_NCD_CCS_NCDPROGRESSMONITOR,Progress monitor,,partially achieved,,
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2000,2000,2000,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,15.4,15.4 [11.1-20.9],11.1,20.9
HWF_0021,Physiotherapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/physiotherapists-%28number%29,2004,2004,2004,SEAR,South-East Asia,MMR,Myanmar,,,,118,118,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2009,2009,2009,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,1.71328,1.7,,
NUTSTUNTINGNUM,"Stunting numbers among children under 5 years of age (millions), model-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-stunting-numbers-%28in-millions%29,2006,2006,2006,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,844.8,844.8 [794.3-899.0],794.3,899
TOBACCO_MPOWER_W2B_TOBACCOSMOKED,"Tobacco Warning: W2b smoked tobacco packaging health warnings, other characteristics",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-warning--w2b-smoked-packaging-health-warnings--other-characteristics,2008,2008,2008,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W16_number_hw_B,Number of health warnings approved by the law for other smoked tobacco packaging,,—,,
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financial-hardship-in-health-----of-population-by-residence-area,2015,2015,2015,SEAR,South-East Asia,MMR,Myanmar,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,63.9319725,63.93,,
FINPROTECTION_IMP_P365_POP,"Population pushed further below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-pushed-further-below-the-3.65-a-day-poverty-line-by-household-health-expenditures-%28percent--national--rural--urban%29,2017,2017,2017,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,7.1,7.1,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,2020,2020,2020,SEAR,South-East Asia,MMR,Myanmar,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,Other alcoholic beverages,0.001128257,0,,
NCD_BMI_25C,"Overweight among adults, BMI ≥ 25 kg/m2 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi-greaterequal-25-%28crude-estimate%29-%28-%29,2018,2018,2018,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,25.233108,25.2 [23.8-26.7],23.770766,26.690361
NCD_BMI_30A,"Obesity among adults, BMI ≥ 30 kg/m2 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-adults-bmi--30-%28age-standardized-estimate%29-%28-%29,2019,2019,2019,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,8.7654628,8.8 [7.6-10.0],7.6402351,9.975069
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2021,2021,2021,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,24.11806156,24.12 [15.37 - 32.17],15.37023203,32.16961474
SA_0000001409,"Alcohol, abstainers lifetime (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-abstainers-lifetime-%28-%29,2020,2020,2020,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,48.7721615,48.8 [45.6 - 51.9],45.5990275,51.8965095
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2017,2017,2017,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,4.592232276,4.59 [1.19 - 9.76],1.193257206,9.7630135
NCD_DTH_TOT,Total NCD Deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2004,2004,2004,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,129445,129 000 [76 900-201 000],76866,200935
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2000,2000,2000,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,8,8.0 [5.7-11.0],5.7,11
NCD_BMI_MINUS2C,"Thinness among children and adolescents, BMI-for-age < -2 standard deviations below the median (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2009,2009,2009,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,12.432279,12.4 [7.2-18.8],7.2346196,18.831876
NCD_BMI_PLUS1C,"Overweight among children and adolescents, BMI-for-age > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2014,2014,2014,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,10.194889,10.2 [7.8-12.9],7.7732414,12.949803
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2009,2009,2009,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,19.7,19.7 [8.2 - 35.7],8.2,35.7
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2010,2010,2010,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,3.723479562,3.7 [0.6-7.6],0.631542668,7.557872253
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2003,2003,2003,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.0226,0,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adult-mortality-rate-%28probability-of-dying-between-15-and-60-years-per-1000-population%29,2003,2003,2003,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,279.1730098,279,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,1990,1990,1990,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,11977,11 977 [7726-18 366],7726,18366
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,1996,1996,1996,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,0.24,0.24 [0.21 - 0.27],0.21,0.27
WHS3_46,Total tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-tetanus---number-of-reported-cases,1984,1984,1984,SEAR,South-East Asia,MMR,Myanmar,,,,2343,2343,,
NCD_DIABETES_TREATMENT_AGESTD,"Diabetes treatment coverage, age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-diabetes-treatment-age-standardized,2004,2004,2004,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,28.258082,28.3 [18.6-39.3],18.601348,39.294782
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2009,2009,2009,SEAR,South-East Asia,MMR,Myanmar,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,35.7,35.7,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2013,2013,2013,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,3.71035,3.7,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2011,2011,2011,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.83338,0.8,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2009,2009,2009,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,31.95495733,32,,
HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-children-receiving-antiretroviral-therapy,2002,2002,2002,SEAR,South-East Asia,MMR,Myanmar,,,,0,0,,
TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,Tobacco Raise taxes: Inflation-adjusted prices for most sold brand of cigarettes,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-raise-taxes--inflation-adjusted-prices-for-most-sold-brand-of-cigarettes,2016,2016,2016,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_inflation_adjusted_price_ppp,"Price adjusted by year-on-year changes in average consumer prices (in purchasing power parity, in the United States of America)",3.15,3.15,,
NCD_BMI_30C,"Obesity among adults, BMI ≥ 30 kg/m2 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-adults-bmi--30-%28crude-estimate%29-%28-%29,1992,1992,1992,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,3.00861,3.0 [1.8-4.7],1.82781,4.7255609
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,2023,2023,2023,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,0.15,0.15 [0.13 - 0.16],0.13,0.16
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2011,2011,2011,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,2943.36765,2943,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2004,2004,2004,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00018,0,,
MORT_MATERNALNUM,Number of maternal deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-maternal-deaths,2015,2015,2015,SEAR,South-East Asia,MMR,Myanmar,,,,2106.207403,2106 [1520-2991],1520.373405,2990.531363
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,1995,1995,1995,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,0.35,0.35 [0.3 - 0.39],0.3,0.39
PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-polluting-fuels-and-technologies-for-cooking-%28in-millions%29,2017,2017,2017,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,5.491734431,5.49 [3.02 - 8.43],3.021240718,8.434297005
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2013,2013,2013,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,0,0 [0 - 0.32],0,0.319109702
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/crude-suicide-rates-%28per-100-000-population%29,2017,2017,2017,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,3.043581685,3.0 [1.8-4.6],1.804574347,4.635778419
NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-hdl-cholesterol-age-standardized-estimate,1991,1991,1991,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,1.1,1.1 [1.0-1.2],1,1.2
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2018,2018,2018,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,0,0 [0 - 0.9],0,0.9
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2000,2000,2000,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,16991.22386,16 991,,
FINPROTECTION_IMP_P365_POP,"Population pushed further below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-pushed-further-below-the-3.65-a-day-poverty-line-by-household-health-expenditures-%28percent--national--rural--urban%29,2015,2015,2015,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,12.45,12.45,,
TOBACCO_MPOWER_E1_DIRECTADBANS,Tobacco Enforce bans: E1 direct advertising,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-enforce-bans--e1-direct-advertising,2024,2024,2024,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E1_nat_tv_radio,Ban on advertising on national television and radio,,Yes,,
TOBACCO_MPOWER_O1_TREATMENTSUPPORT,Tobacco Offer help: O1 Support for treatment of tobacco dependence / Availability of smoking cessation support,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/offer-help--o1-support-for-treatment-of-dependence,2010,2010,2010,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Ins_hosp,Cost-covered in hospitals,,No,,
NCD_BMI_25A,"Overweight among adults, BMI ≥ 25 kg/m2 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi--25-%28age-standardized-estimate%29-%28-%29,1996,1996,1996,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,9.4001718,9.4 [6.9-12.3],6.9425322,12.269446
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2001,2001,2001,SEAR,South-East Asia,MMR,Myanmar,SEVERITY,SEVERITY_MILD,Mild,25.2,25.2 [18.7-29.1],18.7,29.1
GDO_q2x1x3,Targets for monitoring implementation of dementia national plan,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/targets-for-monitoring-implementation-of-dementia-national-plan,2017,2017,2017,SEAR,South-East Asia,MMR,Myanmar,,,,,Not applicable,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2016,2016,2016,SEAR,South-East Asia,MMR,Myanmar,,,,10.65020922,10.7,,
NCD_DTH_TOT,Total NCD Deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2014,2014,2014,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,254807,255 000 [155 000-391 000],155216,391489
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2008,2008,2008,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.01305,0,,
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,1996,1996,1996,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,64.4,64.4 [0.8 - 98.6],0.8,98.6
NCD_BMI_PLUS1C,"Overweight among children and adolescents, BMI-for-age > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2022,2022,2022,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,15.549923,15.5 [10.7-21.2],10.704131,21.224938
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2011,2011,2011,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,1.39306,1.4,,
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-among-children-ages-5-to-9-years-%28per-1000-children-aged-5%29,1993,1993,1993,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,20.24768633,20.2 [13.5-26.0],13.51660132,25.97151717
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2006,2006,2006,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,3124.52217,3124.5,,
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-for-5-14-year-olds-%28probability-of-dying-per-1000-children-aged-5-14-years%29,2022,2022,2022,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,3.20835669,3.2 [1.8-6.2],1.781519764,6.23917563
